55,781079.5124,8,24,32,82.5,64,TRUE, 3/4,-9.25,2.75,52.75
55,470467.6197,10,20,30,82.5,60,TRUE, 3/4,-11.25,54.75,18.75
55,498752.0187,12,18,30,82.5,60,TRUE, 3/4,-11.25,62.75,58.75
55,160778.3006,12,20,32,82.5,64,TRUE, 3/4,-9.25,26.75,268.75
55,189531.8494,12,24,36,82.5,72,TRUE, 3/4,-5.25,-33.25,316.75
55,30372.22636,14,18,32,82.5,64,TRUE, 3/4,-9.25,32.75,322.75
55,111780.3864,14,28,42,82.5,84,FALSE, 3/4,0.75,-77.25,-77.25
56,824076.4939,8,24,32,84,64,TRUE, 3/4,-10,12.75,40
56,242832.785,12,20,32,84,64,TRUE, 3/4,-10,36.75,232
56,224982.328,12,24,36,84,72,TRUE, 3/4,-6,-27.25,344
56,44263.24253,14,18,32,84,64,TRUE, 3/4,-10,42.75,280
56,35407.85776,16,24,32,84,72,TRUE, 3/4,-6,12.75,24
57,973618.2687,8,24,32,85.5,64,TRUE, 3/4,-10.75,23.5,16.5
57,278844.8555,12,20,32,85.5,64,TRUE, 3/4,-10.75,47.5,184.5
57,272262.1362,12,24,36,85.5,72,TRUE, 3/4,-6.75,-20.5,364.5
57,51727.36004,14,18,32,85.5,64,TRUE, 3/4,-10.75,53.5,226.5
57,134877.4856,14,28,42,85.5,84,TRUE, 3/4,-0.75,-76.5,76.5
57,41570.26854,16,24,32,85.5,72,TRUE, 3/4,-6.75,19.5,4.5
57,30956.75088,16,24,40,85.5,80,TRUE, 3/4,-2.75,-48.5,568.5
57,31189.35126,18,24,36,85.5,78,TRUE, 3/4,-3.75,-11.5,247.5
57,39733.11071,18,24,42,85.5,84,TRUE, 3/4,-0.75,-56.5,616.5
58,372557.9843,12,20,32,87,64,TRUE, 3/4,-11.5,59,125.5
58,387050.3486,12,24,36,87,72,TRUE, 3/4,-7.5,-13,377.5
58,55693.39444,14,18,32,87,64,TRUE, 3/4,-11.5,65,161.5
58,161025.4876,14,28,42,87,84,TRUE, 3/4,-1.5,-75,151.5
58,35738.43981,16,24,40,87,80,TRUE, 3/4,-3.5,-45,613.5
58,43400.15785,18,24,36,87,78,TRUE, 3/4,-4.5,-7,254.5
58,50770.58068,18,24,42,87,84,TRUE, 3/4,-1.5,-55,671.5
59,577442.7411,12,20,32,88.5,64,TRUE, 3/4,-12.25,71.25,54.25
59,605582.4383,12,24,36,88.5,72,TRUE, 3/4,-8.25,-4.75,382.25
59,101355.3979,14,18,32,88.5,64,TRUE, 3/4,-12.25,77.25,84.25
59,187603.8828,14,28,42,88.5,84,TRUE, 3/4,-2.25,-72.75,224.25
59,46126.06817,16,24,40,88.5,80,TRUE, 3/4,-4.25,-40.75,654.25
59,55608.99914,18,24,36,88.5,78,TRUE, 3/4,-5.25,-1.75,256.25
59,53224.56962,18,24,42,88.5,84,TRUE, 3/4,-2.25,-52.75,724.25
60,611366.9539,12,24,36,90,72,TRUE, 3/4,-9,4.25,378
60,220552.0653,14,28,42,90,84,TRUE, 3/4,-3,-69.75,294
60,68063.03531,16,24,40,90,80,TRUE, 3/4,-5,-35.75,690
60,41635.03312,16,32,48,90,96,FALSE, 3/4,3,-99.75,-414
60,61628.32668,18,24,36,90,78,TRUE, 3/4,-6,4.25,252
60,61628.32668,18,24,42,90,84,TRUE, 3/4,-3,-49.75,774
61,673693.7714,12,24,36,91.5,72,TRUE, 3/4,-9.75,14,364
61,273805.6248,14,28,42,91.5,84,TRUE, 3/4,-3.75,-66,360
61,70474.26224,16,24,40,91.5,80,TRUE, 3/4,-5.75,-30,720
61,55172.08486,16,32,48,91.5,96,FALSE, 3/4,2.25,-102,-312
61,83264.4339,18,24,36,91.5,78,TRUE, 3/4,-6.75,11,241
61,81857.22446,18,24,42,91.5,84,TRUE, 3/4,-3.75,-46,820
62,826462.9803,12,24,36,93,72,TRUE, 3/4,-10.5,24.5,339.5
62,316193.095,14,28,42,93,84,TRUE, 3/4,-4.5,-61.5,421.5
62,44924.42816,16,20,36,93,72,TRUE, 3/4,-10.5,40.5,499.5
62,84245.75742,16,24,40,93,80,TRUE, 3/4,-6.5,-23.5,743.5
62,76194.11232,16,32,48,93,96,FALSE, 3/4,1.5,-103.5,-208.5
62,110470.5264,18,24,36,93,78,TRUE, 3/4,-7.5,18.5,222.5
62,110470.5264,18,24,42,93,84,TRUE, 3/4,-4.5,-41.5,861.5
63,755529.184,10,30,40,94.5,80,TRUE, 3/4,-7.25,-58.25,45.75
63,1.1289645877532345357*10^6,12,24,36,94.5,72,TRUE, 3/4,-11.25,35.75,303.75
63,42112.17556,12,36,48,94.5,96,FALSE, 3/4,0.75,-144.25,-1424.25
63,328050.1083,14,28,42,94.5,84,TRUE, 3/4,-5.25,-56.25,477.75
63,47458.9912,16,18,34,94.5,68,TRUE, 3/4,-13.25,91.75,105.75
63,49778.09623,16,20,36,94.5,72,TRUE, 3/4,-11.25,51.75,447.75
63,122765.0435,16,24,40,94.5,80,TRUE, 3/4,-7.25,-16.25,759.75
63,140164.0919,16,32,48,94.5,96,FALSE, 3/4,0.75,-104.25,-104.25
63,143832.6968,18,24,36,94.5,78,TRUE, 3/4,-8.25,26.75,195.75
63,116721.0643,18,24,42,94.5,84,TRUE, 3/4,-5.25,-36.25,897.75
64,768758.8964,10,30,40,96,80,TRUE, 3/4,-8,-50.25,96
64,1.8427978003713628983*10^6,12,24,36,96,72,TRUE, 3/4,-12,47.75,256
64,373893.1018,14,28,42,96,84,TRUE, 3/4,-6,-50.25,528
64,71627.84122,16,20,36,96,72,TRUE, 3/4,-12,63.75,384
64,166061.7869,16,24,40,96,80,TRUE, 3/4,-8,-8.25,768
64,177281.8869,18,24,36,96,78,TRUE, 3/4,-9,35.75,160
64,134043.7707,18,24,42,96,84,TRUE, 3/4,-6,-30.25,928
65,914356.2873,10,30,40,97.5,80,TRUE, 3/4,-8.75,-41.5,137.5
65,2.7182069368667025596*10^6,12,24,36,97.5,72,TRUE, 3/4,-12.75,60.5,195.5
65,482982.8083,14,28,42,97.5,84,TRUE, 3/4,-6.75,-43.5,571.5
65,113983.8011,16,20,36,97.5,72,TRUE, 3/4,-12.75,76.5,307.5
65,193381.7218,16,24,40,97.5,80,TRUE, 3/4,-8.75,0.5,767.5
65,165670.9157,16,32,48,97.5,96,TRUE, 3/4,-0.75,-103.5,103.5
65,210448.7956,18,24,36,97.5,78,TRUE, 3/4,-9.75,45.5,114.5
65,186005.4796,18,24,42,97.5,84,TRUE, 3/4,-6.75,-23.5,951.5
65,43966.21618,20,28,48,97.5,96,TRUE, 3/4,-0.75,-79.5,847.5
66,1.2389057618372466970*10^6,10,30,40,99,80,TRUE, 3/4,-9.5,-32,169.5
66,2.9021868462766729569*10^6,12,24,36,99,72,TRUE, 3/4,-13.5,74,121.5
66,600177.5766,14,28,42,99,84,TRUE, 3/4,-7.5,-36,607.5
66,150264.3273,16,20,36,99,72,TRUE, 3/4,-13.5,90,217.5
66,261985.8364,16,24,40,99,80,TRUE, 3/4,-9.5,10,757.5
66,207074.5631,16,32,48,99,96,TRUE, 3/4,-1.5,-102,205.5
66,304819.5395,18,24,36,99,78,TRUE, 3/4,-10.5,56,58.5
66,237469.7639,18,24,42,99,84,TRUE, 3/4,-7.5,-16,967.5
66,70094.00341,18,30,48,99,96,TRUE, 3/4,-1.5,-88,625.5
66,63850.02397,20,28,48,99,96,TRUE, 3/4,-1.5,-78,925.5
